"gid","x","y","text"
84,-92.834924,33.5709409999999,"POINT(-92.834924 33.5709409999999)"
85,-92.453315,35.087336,"POINT(-92.453315 35.087336)"
86,-92.662553,33.2135209999998,"POINT(-92.662553 33.2135209999998)"
87,-94.160912,36.0763790000001,"POINT(-94.160912 36.0763790000001)"
88,-90.7887159999982,35.010131,"POINT(-90.7887159999982 35.010131)"
89,-94.3987370000001,35.368691,"POINT(-94.3987370000001 35.368691)"
90,-93.113703,36.2372470000001,"POINT(-93.113703 36.2372470000001)"
91,-93.589908,33.6677789999999,"POINT(-93.589908 33.6677789999999)"
92,-93.055393,34.4971379999999,"POINT(-93.055393 34.4971379999999)"
93,-92.115164,34.870345,"POINT(-92.115164 34.870345)"
94,-90.6940479999977,35.828067,"POINT(-90.6940479999977 35.828067)"
95,-92.331122,34.736009,"POINT(-92.331122 34.736009)"
96,-93.233477,33.2740519999998,"POINT(-93.233477 33.2740519999998)"
97,-92.406551,34.853745,"POINT(-92.406551 34.853745)"
98,-92.382279,36.3362480000001,"POINT(-92.382279 36.3362480000001)"
99,-92.256881,34.780791,"POINT(-92.256881 34.780791)"
100,-90.502937999996,36.057075,"POINT(-90.502937999996 36.057075)"
101,-92.023114,34.2166479999999,"POINT(-92.023114 34.2166479999999)"
102,-94.141372,36.3293880000001,"POINT(-94.141372 36.3293880000001)"
103,-93.13682,35.278429,"POINT(-93.13682 35.278429)"
104,-91.733706,35.247043,"POINT(-91.733706 35.247043)"
105,-92.211514,34.83089,"POINT(-92.211514 34.83089)"
106,-94.5393150000001,36.1833590000001,"POINT(-94.5393150000001 36.1833590000001)"
107,-94.14592,36.1814260000001,"POINT(-94.14592 36.1814260000001)"
108,-94.020514,33.4330749999999,"POINT(-94.020514 33.4330749999999)"
109,-94.346737,35.444339,"POINT(-94.346737 35.444339)"
110,-90.1788309999904,35.1502939999999,"POINT(-90.1788309999904 35.1502939999999)"
111,-111.548021308506,33.4109511107683,"POINT(-111.548021308506 33.4109511107683)"
112,-112.315057225135,33.4542007437079,"POINT(-112.315057225135 33.4542007437079)"
113,-114.58868721012,35.1156407326015,"POINT(-114.58868721012 35.1156407326015)"
114,-111.743862403378,32.8859509256481,"POINT(-111.743862403378 32.8859509256481)"
115,-111.009852413993,32.3463671689616,"POINT(-111.009852413993 32.3463671689616)"
116,-110.88387996674,32.2939892116221,"POINT(-110.88387996674 32.2939892116221)"
117,-111.863533839737,33.2977549471528,"POINT(-111.863533839737 33.2977549471528)"
118,-111.992509779707,34.7084011745962,"POINT(-111.992509779707 34.7084011745962)"
119,-109.541380363681,31.3449105382539,"POINT(-109.541380363681 31.3449105382539)"
120,-111.043934581519,32.1389881263268,"POINT(-111.043934581519 32.1389881263268)"
121,-111.599982761488,32.7635059737006,"POINT(-111.599982761488 32.7635059737006)"
122,-111.631000853748,35.1991593829508,"POINT(-111.631000853748 35.1991593829508)"
123,-111.384530725355,33.0422031179774,"POINT(-111.384530725355 33.0422031179774)"
124,-111.008867421123,32.291304161855,"POINT(-111.008867421123 32.291304161855)"
125,-114.411841509337,32.6577093839689,"POINT(-114.411841509337 32.6577093839689)"
126,-111.728537057228,33.6048100685178,"POINT(-111.728537057228 33.6048100685178)"
127,-111.762422324205,33.3444380043426,"POINT(-111.762422324205 33.3444380043426)"
128,-112.19932249372,33.5807248375163,"POINT(-112.19932249372 33.5807248375163)"
129,-112.398991762176,33.3896536785543,"POINT(-112.398991762176 33.3896536785543)"
130,-111.000085464366,31.8556161059662,"POINT(-111.000085464366 31.8556161059662)"
131,-114.025755892509,35.2084472456209,"POINT(-114.025755892509 35.2084472456209)"
132,-114.309048973816,34.4899666240645,"POINT(-114.309048973816 34.4899666240645)"
133,-111.125445845144,32.3865381270087,"POINT(-111.125445845144 32.3865381270087)"
134,-111.746449221095,33.4111980243275,"POINT(-111.746449221095 33.4111980243275)"
135,-114.58464544874,34.9569266368958,"POINT(-114.58464544874 34.9569266368958)"
136,-114.020495770956,35.2550522721587,"POINT(-114.020495770956 35.2550522721587)"
137,-112.085771723926,33.8691479593908,"POINT(-112.085771723926 33.8691479593908)"
138,-110.939230303855,31.3540060650086,"POINT(-110.939230303855 31.3540060650086)"
139,-110.976001274125,32.4212461925178,"POINT(-110.976001274125 32.4212461925178)"
140,-111.956463205132,33.5445949523769,"POINT(-111.956463205132 33.5445949523769)"
141,-111.327465069417,34.2394613244384,"POINT(-111.327465069417 34.2394613244384)"
142,-112.251597754032,33.6497368259478,"POINT(-112.251597754032 33.6497368259478)"
143,-112.076312843083,33.5283688895263,"POINT(-112.076312843083 33.5283688895263)"
144,-112.461496409793,34.5682089448945,"POINT(-112.461496409793 34.5682089448945)"
145,-112.321935582208,34.6022280169079,"POINT(-112.321935582208 34.6022280169079)"
146,-114.768365496625,32.4961116916401,"POINT(-114.768365496625 32.4961116916401)"
147,-111.895996877257,33.5907079904801,"POINT(-111.895996877257 33.5907079904801)"
148,-111.789209730166,34.8598962755472,"POINT(-111.789209730166 34.8598962755472)"
149,-110.276506139911,31.5454973453084,"POINT(-110.276506139911 31.5454973453084)"
150,-110.232132020778,31.4882603544501,"POINT(-110.232132020778 31.4882603544501)"
151,-112.28193894739,33.6142368011229,"POINT(-112.28193894739 33.6142368011229)"
152,-112.357861361732,33.6704107732106,"POINT(-112.357861361732 33.6704107732106)"
153,-111.869977905689,33.2146849272955,"POINT(-111.869977905689 33.2146849272955)"
154,-112.397211607621,33.6517837464988,"POINT(-112.397211607621 33.6517837464988)"
155,-110.751754514552,32.2715222582911,"POINT(-110.751754514552 32.2715222582911)"
156,-111.928795132159,33.3886949336438,"POINT(-111.928795132159 33.3886949336438)"
157,-110.918200103642,32.2144751879492,"POINT(-110.918200103642 32.2144751879492)"
158,-114.61542514638,32.6921440906914,"POINT(-114.61542514638 32.6921440906914)"
159,-117.432803798296,34.5759821901628,"POINT(-117.432803798296 34.5759821901628)"
160,-118.761948369637,34.153351069142,"POINT(-118.761948369637 34.153351069142)"
161,-122.25712604686,37.7639622061265,"POINT(-122.25712604686 37.7639622061265)"
162,-122.033015813551,37.8589805073877,"POINT(-122.033015813551 37.8589805073877)"
163,-122.296238562201,37.8915672187735,"POINT(-122.296238562201 37.8915672187735)"
164,-118.135169465149,34.0818476475804,"POINT(-118.135169465149 34.0818476475804)"
165,-117.725535983777,33.5750850414547,"POINT(-117.725535983777 33.5750850414547)"
166,-116.770693131695,32.8345540936163,"POINT(-116.770693131695 32.8345540936163)"
167,-118.134911849827,34.1885939299944,"POINT(-118.134911849827 34.1885939299944)"
168,-121.825763170534,37.3675791914412,"POINT(-121.825763170534 37.3675791914412)"
169,-117.889878608545,33.8361540082352,"POINT(-117.889878608545 33.8361540082352)"
170,-121.802496440776,37.9924149594585,"POINT(-121.802496440776 37.9924149594585)"
171,-117.212094582196,34.5114786788584,"POINT(-117.212094582196 34.5114786788584)"
172,-118.036604454246,34.132677170505,"POINT(-118.036604454246 34.132677170505)"
173,-124.083165896382,40.872831358508,"POINT(-124.083165896382 40.872831358508)"
174,-121.379975242092,38.605152426927,"POINT(-121.379975242092 38.605152426927)"
175,-120.587038238713,35.1208580436477,"POINT(-120.587038238713 35.1208580436477)"
176,-118.080738549279,33.867203308159,"POINT(-118.080738549279 33.867203308159)"
177,-118.832332379825,35.204627203346,"POINT(-118.832332379825 35.204627203346)"
178,-122.11673876717,37.6946209740647,"POINT(-122.11673876717 37.6946209740647)"
179,-120.67272585911,35.4842646863991,"POINT(-120.67272585911 35.4842646863991)"
180,-120.603222143711,37.3542374598867,"POINT(-120.603222143711 37.3542374598867)"
181,-121.07459835336,38.8986710796604,"POINT(-121.07459835336 38.8986710796604)"
182,-120.120800648297,36.0250733672863,"POINT(-120.120800648297 36.0250733672863)"
183,-118.004687776852,34.038599056896,"POINT(-118.004687776852 34.038599056896)"
184,-117.90697772772,34.1306466583813,"POINT(-117.90697772772 34.1306466583813)"
185,-119.031807027714,35.357264961983,"POINT(-119.031807027714 35.357264961983)"
186,-117.971788329316,34.0827982955427,"POINT(-117.971788329316 34.0827982955427)"
187,-116.897635176151,33.9317215269933,"POINT(-116.897635176151 33.9317215269933)"
188,-117.034896093162,34.8762527638378,"POINT(-117.034896093162 34.8762527638378)"
189,-121.956371642794,38.0277129699467,"POINT(-121.956371642794 38.0277129699467)"
190,-120.8358595641,35.3167746249282,"POINT(-120.8358595641 35.3167746249282)"
191,-116.973814267232,33.924085298173,"POINT(-116.973814267232 33.924085298173)"
192,-118.183027901702,33.9784021732066,"POINT(-118.183027901702 33.9784021732066)"
193,-118.127722244379,33.8881531653935,"POINT(-118.127722244379 33.8881531653935)"
194,-118.156157910184,33.9681692587865,"POINT(-118.156157910184 33.9681692587865)"
195,-122.291999788101,37.5180759495964,"POINT(-122.291999788101 37.5180759495964)"
196,-122.156456109325,38.0633539252905,"POINT(-122.156456109325 38.0633539252905)"
197,-122.27491728562,37.871767094197,"POINT(-122.27491728562 37.871767094197)"
198,-118.399588079397,34.0730965026326,"POINT(-118.399588079397 34.0730965026326)"
199,-121.914277401,37.8099953762134,"POINT(-121.914277401 37.8099953762134)"
200,-117.398820118415,34.0594532592583,"POINT(-117.398820118415 34.0594532592583)"
201,-114.589275646416,33.6171537610958,"POINT(-114.589275646416 33.6171537610958)"
202,-117.035422049419,32.6584098387546,"POINT(-117.035422049419 32.6584098387546)"
203,-116.949988132615,32.821602448667,"POINT(-116.949988132615 32.821602448667)"
204,-115.536325289267,32.9770286191294,"POINT(-115.536325289267 32.9770286191294)"
205,-117.889033145234,33.9233282236548,"POINT(-117.889033145234 33.9233282236548)"
206,-121.70980183024,37.9353047052965,"POINT(-121.70980183024 37.9353047052965)"
207,-118.004282716429,33.8562025967278,"POINT(-118.004282716429 33.8562025967278)"
208,-118.328465510339,34.1801581167835,"POINT(-118.328465510339 34.1801581167835)"
209,-122.364022455349,37.5832243097616,"POINT(-122.364022455349 37.5832243097616)"
210,-118.661055910364,34.1383495047265,"POINT(-118.661055910364 34.1383495047265)"
